example_id                                                               | status | run_time        |
./spec/features/archive_department/api.friendly_resource.spec.rb[1:12]   | passed | 0.00113 seconds |
./spec/features/archive_department/api.friendly_resource.spec.rb[1:13]   | passed | 0.00097 seconds |
./spec/features/archive_department/api.friendly_resource.spec.rb[1:14]   | passed | 0.01229 seconds |
./spec/features/archive_department/api.friendly_resource.spec.rb[1:15]   | passed | 0.01053 seconds |
./spec/features/archive_department/api.friendly_resource.spec.rb[1:16]   | passed | 0.00102 seconds |
./spec/features/archive_department/api.friendly_resource.spec.rb[1:17]   | passed | 0.00763 seconds |
./spec/features/intelligence_department/api.spec.rb[1:1]                 | passed | 0.00259 seconds |
./spec/features/intelligence_department/api.spec.rb[1:2]                 | passed | 0.00628 seconds |
./spec/features/intelligence_department/api.spec.rb[1:3]                 | passed | 0.00459 seconds |
./spec/features/think_tank_department/api.spec.rb[1:1]                   | passed | 0.00527 seconds |
./spec/features/think_tank_department/api.spec.rb[1:2]                   | passed | 0.00293 seconds |
./spec/features/think_tank_department/api.spec.rb[1:3]                   | passed | 0.0011 seconds  |
./spec/features/think_tank_department/api.spec.rb[1:4]                   | passed | 0.00119 seconds |
./spec/features/think_tank_department/api.spec.rb[1:5]                   | passed | 0.0053 seconds  |
./spec/features/think_tank_department/api.spec.rb[1:6]                   | passed | 0.00228 seconds |
./spec/features/think_tank_department/api.spec.rb[1:7]                   | passed | 0.00117 seconds |
./spec/features/think_tank_department/api.spec.rb[1:8]                   | passed | 0.00124 seconds |
./spec/features/think_tank_department/api.spec.rb[1:9]                   | passed | 0.00117 seconds |
./spec/features/think_tank_department/api.spec.rb[1:10]                  | passed | 0.00396 seconds |
./spec/features/think_tank_department/api.spec.rb[1:11]                  | passed | 0.05935 seconds |
./spec/features/think_tank_department/api.spec.rb[1:12]                  | passed | 0.00568 seconds |
./spec/features/think_tank_department/api.spec.rb[1:13]                  | passed | 0.00223 seconds |
./spec/features/workers/icmp_cyber_report_producer.spec.rb[1:1:1]        | passed | 0.03391 seconds |
./spec/features/workers/icmp_cyber_report_producer.spec.rb[1:1:2]        | passed | 2.11 seconds    |
./spec/features/workers/sql_injection_cyber_report_producer.spec.rb[1:1] | passed | 0.04465 seconds |
./spec/features/workers/sql_injection_cyber_report_producer.spec.rb[1:2] | passed | 0.04774 seconds |
